Activity,accXDC,accYDC,accZDC,accXfrqE,accXfrqLoc,accYfrqE,accYfrqLoc,accZfrqE,accZfrqLoc,accXstd,accYstd,accZstd
downstairs,-0.53333,-9.5702,-2.0303,1.3621,5.794,9.5619,0,2.0269,0,2.2132,4.3657,1.7619
downstairs,-0.94605,-9.5861,-2.2843,1.2633,5.7208,9.5858,0,2.2759,0,2.4318,4.6839,1.9306
downstairs,-1.2478,-9.4173,-2.1966,1.2357,0,9.4516,0,2.204,0,2.0943,4.7444,1.9
downstairs,-1.7924,-9.2622,-2.3238,1.7925,0,9.2628,0,2.3345,0,2.3837,5.2191,1.9566
downstairs,-1.795,-9.5098,-2.101,1.7654,0,9.5496,0,2.1228,0,2.2315,4.9823,2.1413
jogging,-1.5981,-9.3935,-2.6541,2.9317,2.4432,12.5858,2.4432,2.8042,2.4432,4.9784,13.1402,5.1299
running,-2.0854,-9.4685,-2.5077,4.8161,4.1276,14.5421,2.8143,3.0982,2.8143,6.2712,16.6794,5.9291
running,-3.2198,-8.9958,-2.8582,7.5346,2.7881,15.8606,2.7881,4.5153,2.7881,7.8295,15.7547,6.8771
running,-3.8424,-8.9667,-3.0984,6.4956,2.8143,14.3708,2.8143,3.7927,2.8143,7.5546,15.8504,6.6137
running,-3.8049,-8.6997,-3.1649,6.9732,2.809,13.7442,2.809,4.1377,2.809,7.7374,15.0529,6.2663
running,-3.6544,-8.5521,-3.1526,6.424,2.8249,12.9449,2.8249,4.0226,2.8249,8.0169,16.0612,6.9957
running,-3.7968,-8.6092,-3.0342,7.3486,2.8143,15.6665,2.8143,4.9265,2.8143,7.72,15.7981,6.7672
running,-3.5763,-8.7254,-3.0514,8.0393,2.8302,15.373,2.8302,4.5349,2.8302,8.6218,15.9546,6.995
running,-3.9797,-8.9409,-3.2035,6.0957,2.934,13.1404,2.934,3.7418,2.934,7.8344,15.8449,6.4479
running,-1.7286,-9.4451,-3.0451,5.7006,4.3152,13.2447,2.8143,3.2247,2.8143,6.7,16.931,6.3659
running,-2.2482,-8.9247,-3.0177,6.2437,4.3071,14.588,2.809,3.595,2.809,7.4174,16.4137,6.4846
running,-3.1231,-8.9739,-3.2938,6.664,2.8302,15.3461,2.8302,4.2626,2.8302,8.073,16.146,6.5608
running,-3.5596,-8.9716,-3.3626,6.7337,2.8249,14.929,2.8249,4.1735,2.8249,7.8495,16.0895,6.5796
running,-3.4716,-8.6385,-3.0367,7.0293,2.8249,14.7461,2.8249,4.3563,2.8249,7.6388,15.7217,6.7207
running,-3.6028,-8.6818,-3.3863,6.0943,2.8143,12.1455,2.8143,3.7185,2.8143,8.182,15.5592,6.3251
running,-3.4913,-8.8449,-3.2192,5.6583,4.2751,10.9704,2.974,3.3954,5.7621,8.26,16.3307,6.9734
running,-3.7569,-8.7691,-3.5064,5.3164,2.7701,11.5464,2.7701,3.825,2.7701,7.7525,15.3745,6.5916
running,-3.7943,-9.0452,-2.9599,5.6064,2.8037,11.7775,2.8037,3.3053,2.8037,7.6716,16.0309,6.684
